CODFILIAL;CODPROD;DESCRICAO;CODFORNEC;FORNECEDOR;EMBALAGEM;QTESTGER;QTINDENIZ;QTRESERV;QTPENDENTE;CUSTOULTENT;PVENDA;QTBLOQUEADA;QT_DISP
1;249;NESTLE GREGO LIGHT MARACUJA 12X360G;16;DAIRY PARTNERS AMERICAS BRASIL LTDA;360G;23;0;0;0;4,484847;7,1;0;23
1;254;NINHO FRUTI MORANGO 8X250G;16;DAIRY PARTNERS AMERICAS BRASIL LTDA;250G;22;0;22;0;2,890952;5,7;0;0
1;255;CHANDELLE SENSACAO 20X220G;16;DAIRY PARTNERS AMERICAS BRASIL LTDA;20X220G;;0;0;0;1,9965;2,9103;0;
1;169;BEB LACTEA NESTLE MORANGO 10X900G;16;DAIRY PARTNERS AMERICAS BRASIL LTDA;10X900G;0;0;0;0;5,017746;6,77;0;0
1;171;BEB LACTEA NESTLE POLPA 3 SABORES 6X540G;16;DAIRY PARTNERS AMERICAS BRASIL LTDA;6X540G;0;0;0;0;2,585175;3,51;0;0
1;178;BEB LACTEA NINHO SOLEIL MORANGO 48X180G;16;DAIRY PARTNERS AMERICAS BRASIL LTDA;180G;0;0;0;0;1,530417;2,2309;0;0
1;179;IOGURTE NINHO SOLEIL MORANGO 10X900G;16;DAIRY PARTNERS AMERICAS BRASIL LTDA;10X900G;0;0;0;0;5,717228;9,16;0;0
1;182;CHAMBINHO PETIT MRG 12X480G;16;DAIRY PARTNERS AMERICAS BRASIL LTDA;480G;0;0;0;0;4,673581;9,4;0;0
1;183;CHAMBINHO PETIT MOR 16X320G;16;DAIRY PARTNERS AMERICAS BRASIL LTDA;320G;380;0;51;0;4,096867;6,7;0;329
1;184;NINHO SOLEIL PETIT MOR 28X360G;16;DAIRY PARTNERS AMERICAS BRASIL LTDA;28X360G;0;0;0;0;2,013296;5,49;0;0
1;185;CHAMYTO NECTAR 27X200ML LARANJA;16;DAIRY PARTNERS AMERICAS BRASIL LTDA;27X200ML;0;0;0;0;0,862207;0,8;0;0
1;189;CHANDELLE CHOCOLATE BRANCO 20X220G;16;DAIRY PARTNERS AMERICAS BRASIL LTDA;20X220G;0;0;0;0;2,272754;3,5;0;0
1;190;CHANDELLE CREME+BISC NEGRESCO 24X111G;16;DAIRY PARTNERS AMERICAS BRASIL LTDA;24X111G;0;0;0;0;1,539167;2,2437;0;0
1;191;CHANDELLE TORTA LIMAO 20X180G;16;DAIRY PARTNERS AMERICAS BRASIL LTDA;20X180G;0;0;0;0;1,9965;2,9103;0;0
