CODFILIAL;CODPROD;DESCRICAO;DTULTENT;VALORULTENT;QTULTENT
1;249;NESTLE GREGO LIGHT MARACUJA 12X360G;13/05/21;4,484847;144
1;254;NINHO FRUTI MORANGO 8X250G;07/06/21;2,890952;320
1;182;CHAMBINHO PETIT MRG 12X480G;23/04/21;4,673581;288
1;183;CHAMBINHO PETIT MOR 16X320G;07/06/21;4,096867;2304
1;206;NESTLE GREGO IOG LIGHT 3 SAB 6X540G;07/06/21;5,620384;180
1;167;CHAMYTO IOGURTE MOR+CER CHOC 24X130G;07/06/21;2,036319;1200
1;174;NESTON IOGURTE LIQ MACA BNA 12X850G;07/06/21;4,97811;672
1;201;IOGURTE NESTLE NATURAL MEL 28X170G;07/06/21;1,49896;840
1;176;NINHO IOGURTE LIQ MACA E BANANA 12X850G;07/06/21;6,269785;672
1;168;CHAMYTO BEB LACTEA MOR+CER CRML 24X130G;07/06/21;2,036319;1200
1;200;NESTLE IOG NATURAL DESNATADO 28X160G;07/06/21;1,49896;840
1;295;PALLET ;26/05/21;25,2;112
1;212;NINHO SOLEIL PETIT MRG+BNA&MC 16X320G;05/05/21;4,043745;384
1;199;IOGURTE NESTLE NATURAL 28X170G;07/06/21;1,49896;840
1;194;NESTLE GREGO IOG FRUTAS VERM 12X400G;07/06/21;4,485226;144
1;180;NINHO IOGURTE POLPA 6X540G;07/06/21;3,318984;7200
1;287;NINHO IOGURTE LIQ MACA E BANANA 24X170G;07/06/21;1,638032;1440
1;204;NESTLE FLAN CARAMELO 20X200G;07/06/21;2,071839;200
1;214;REQUEIJAO CREMOSO NESTLE LIGHT 15X200G;07/06/21;4,064916;780
1;288;NINHO IOGURTE MORANGO 24X170G;07/06/21;1,638036;1920
1;333;NESTON IOGURTE POLPA 2 SABORES 6X540G;07/06/21;2,960393;2970
1;192;NESTLE BICAM IOGURTE MORANGO 28X150G;07/06/21;1,802333;1960
1;448;CHANDELLE CHANTILLY CHOCOLATE 24X200G;07/06/21;3,03018;240
1;449;CHANDELLE CHANTILLY CARAMELO 24X200G;07/06/21;3,03018;240
1;450;CHANDELLE CHOCOLATE 24X180G;07/06/21;2,642581;240
1;453;CHANDELLE CHOCOLATE 18X360G;07/06/21;4,199354;540
1;451;CHAMBINHO CHOCOLATE 16X320G;07/06/21;3,583552;768
1;759;CHAMYTO LEITE FERMENTADO 21X6X75G;07/06/21;3,279345;420
1;198;NESTLE NATURAL CENOURA+LARANJA 28X170G;07/06/21;1,498963;1120
1;1517;NESTON IOGURTE LIQ MACA E BAN 24X170G;07/06/21;1,243645;1440
1;1519;NESTLE GREGO IOG TRAD + MRG 6X600G;07/06/21;5,620384;180
1;1509;NESTLE IOGURTE MORANGO 24X170G;07/06/21;1,335109;2400
1;1511;NESTLE IOGURTE MORANGO 12X900G;07/06/21;5,474137;1344
1;1506;NESTLE IOG VIT DE FRUTA 12X900G;07/06/21;5,474121;672
1;1508;NESTLE GREGO IOG LT MORANGO 12X360G;07/06/21;4,485226;144
1;1510;NESTLE IOGURTE MORANGO 12X1,250G;07/06/21;7,198809;840
1;1512;NESTLE IOGURTE VIT DE FRUTA 12X1,250G;07/06/21;7,198814;600
1;1521;CHAMYTO GO IOG LIQ MORANGO 24X100G;07/06/21;1,468566;1104
1;1520;CHAMYTO GO IOG LIQ VITAMINA 24X100G;29/05/21;1,468292;552
1;1652;NESTLE GREGO MORANGO 24X90G;31/07/20;1,167216;432
1;1653;NESTLE GREGO FLOCOS 24X90G;05/08/20;1,167192;432
1;1958;NESTLE GREGO TORTA MORANGO 24X90G;07/06/21;1,366271;432
1;1699;NESTLE GREGO IOG FLOCOS 12X400G;31/07/20;4,053831;144
1;2127;NESFIT IOGURTE FRUTAS VERMELHAS 20X150G;29/01/21;2,572483;460
1;1887;CHANDELLE CHOCOLATE BRANCO 18X360G;07/06/21;4,199354;360
1;2332;NESTLE FLAN MORANGO 20X200G;26/09/20;1,927731;400
1;213;REQUEIJAO CREMOSO NESTLE 15X200G;07/06/21;4,064907;1755
1;2042;NESFIT IOGURTE MORANGO BAUN 24X170G;07/06/21;1,932282;480
