CODFILIAL;CODPROD;DESCRICAO;CODFORNEC;FORNECEDOR;EMBALAGEM;QTESTGER;QTINDENIZ;QTRESERV;QTPENDENTE;CUSTOULTENT;PVENDA;QTBLOQUEADA;QT_DISP
1;249;NESTLE GREGO LIGHT MARACUJA 12X360G;16;DAIRY PARTNERS AMERICAS BRASIL LTDA;360G;58;0;13;12;4,484847;7,1;0;33
1;254;NINHO FRUTI MORANGO 8X250G;16;DAIRY PARTNERS AMERICAS BRASIL LTDA;250G;286;0;56;8;2,890952;5,7;0;222
1;255;CHANDELLE SENSACAO 20X220G;16;DAIRY PARTNERS AMERICAS BRASIL LTDA;20X220G;;0;0;0;1,9965;2,9103;0;
1;169;BEB LACTEA NESTLE MORANGO 10X900G;16;DAIRY PARTNERS AMERICAS BRASIL LTDA;10X900G;0;0;0;0;5,017746;6,77;0;0
1;171;BEB LACTEA NESTLE POLPA 3 SABORES 6X540G;16;DAIRY PARTNERS AMERICAS BRASIL LTDA;6X540G;0;0;0;0;2,585175;3,51;0;0
1;178;BEB LACTEA NINHO SOLEIL MORANGO 48X180G;16;DAIRY PARTNERS AMERICAS BRASIL LTDA;180G;0;0;0;0;1,530417;2,2309;0;0
1;179;IOGURTE NINHO SOLEIL MORANGO 10X900G;16;DAIRY PARTNERS AMERICAS BRASIL LTDA;10X900G;0;0;0;0;5,717228;9,16;0;0
1;182;CHAMBINHO PETIT MRG 12X480G;16;DAIRY PARTNERS AMERICAS BRASIL LTDA;480G;0;0;0;0;4,673581;9,4;0;0
1;183;CHAMBINHO PETIT MOR 16X320G;16;DAIRY PARTNERS AMERICAS BRASIL LTDA;320G;2500;0;588;47;4,096867;6,7;0;1865
1;184;NINHO SOLEIL PETIT MOR 28X360G;16;DAIRY PARTNERS AMERICAS BRASIL LTDA;28X360G;0;0;0;0;2,013296;5,49;0;0
