CODFILIAL;CODPROD;DESCRICAO;EMBALAGEM;DATA;QTESTGER
1;167;CHAMYTO IOGURTE MOR+CER CHOC 24X130G;130G;2021-02-08;795
1;167;CHAMYTO IOGURTE MOR+CER CHOC 24X130G;130G;2021-02-09;531
1;167;CHAMYTO IOGURTE MOR+CER CHOC 24X130G;130G;2021-02-10;374
1;167;CHAMYTO IOGURTE MOR+CER CHOC 24X130G;130G;2021-02-11;339
1;167;CHAMYTO IOGURTE MOR+CER CHOC 24X130G;130G;2021-02-12;244
1;167;CHAMYTO IOGURTE MOR+CER CHOC 24X130G;130G;2021-02-13;679
1;167;CHAMYTO IOGURTE MOR+CER CHOC 24X130G;130G;2021-02-14;679
1;167;CHAMYTO IOGURTE MOR+CER CHOC 24X130G;130G;2021-02-15;472
1;167;CHAMYTO IOGURTE MOR+CER CHOC 24X130G;130G;2021-02-17;285
1;167;CHAMYTO IOGURTE MOR+CER CHOC 24X130G;130G;2021-02-18;237
1;167;CHAMYTO IOGURTE MOR+CER CHOC 24X130G;130G;2021-02-19;181
1;167;CHAMYTO IOGURTE MOR+CER CHOC 24X130G;130G;2021-02-20;39
1;167;CHAMYTO IOGURTE MOR+CER CHOC 24X130G;130G;2021-02-21;39
1;167;CHAMYTO IOGURTE MOR+CER CHOC 24X130G;130G;2021-02-22;36
1;167;CHAMYTO IOGURTE MOR+CER CHOC 24X130G;130G;2021-02-23;0
1;167;CHAMYTO IOGURTE MOR+CER CHOC 24X130G;130G;2021-02-24;0
1;167;CHAMYTO IOGURTE MOR+CER CHOC 24X130G;130G;2021-02-25;0
1;167;CHAMYTO IOGURTE MOR+CER CHOC 24X130G;130G;2021-02-26;0
1;167;CHAMYTO IOGURTE MOR+CER CHOC 24X130G;130G;2021-02-27;666
1;167;CHAMYTO IOGURTE MOR+CER CHOC 24X130G;130G;2021-02-28;666
1;167;CHAMYTO IOGURTE MOR+CER CHOC 24X130G;130G;2021-03-02;411
1;167;CHAMYTO IOGURTE MOR+CER CHOC 24X130G;130G;2021-03-03;171
1;167;CHAMYTO IOGURTE MOR+CER CHOC 24X130G;130G;2021-03-04;71
1;167;CHAMYTO IOGURTE MOR+CER CHOC 24X130G;130G;2021-03-05;71
1;167;CHAMYTO IOGURTE MOR+CER CHOC 24X130G;130G;2021-03-06;60
1;167;CHAMYTO IOGURTE MOR+CER CHOC 24X130G;130G;2021-03-07;60
1;167;CHAMYTO IOGURTE MOR+CER CHOC 24X130G;130G;2021-03-08;758
1;167;CHAMYTO IOGURTE MOR+CER CHOC 24X130G;130G;2021-03-09;306
1;167;CHAMYTO IOGURTE MOR+CER CHOC 24X130G;130G;2021-03-10;108
1;167;CHAMYTO IOGURTE MOR+CER CHOC 24X130G;130G;2021-03-11;18
1;167;CHAMYTO IOGURTE MOR+CER CHOC 24X130G;130G;2021-03-12;18
1;167;CHAMYTO IOGURTE MOR+CER CHOC 24X130G;130G;2021-03-13;0
1;167;CHAMYTO IOGURTE MOR+CER CHOC 24X130G;130G;2021-03-14;0
1;167;CHAMYTO IOGURTE MOR+CER CHOC 24X130G;130G;2021-03-15;0
1;167;CHAMYTO IOGURTE MOR+CER CHOC 24X130G;130G;2021-03-16;0
1;167;CHAMYTO IOGURTE MOR+CER CHOC 24X130G;130G;2021-03-17;0
1;167;CHAMYTO IOGURTE MOR+CER CHOC 24X130G;130G;2021-03-18;0
1;167;CHAMYTO IOGURTE MOR+CER CHOC 24X130G;130G;2021-03-19;0
1;167;CHAMYTO IOGURTE MOR+CER CHOC 24X130G;130G;2021-03-20;0
1;167;CHAMYTO IOGURTE MOR+CER CHOC 24X130G;130G;2021-03-21;0
1;167;CHAMYTO IOGURTE MOR+CER CHOC 24X130G;130G;2021-03-22;0
1;167;CHAMYTO IOGURTE MOR+CER CHOC 24X130G;130G;2021-03-23;0
1;167;CHAMYTO IOGURTE MOR+CER CHOC 24X130G;130G;2021-03-24;827
1;167;CHAMYTO IOGURTE MOR+CER CHOC 24X130G;130G;2021-03-25;643
1;167;CHAMYTO IOGURTE MOR+CER CHOC 24X130G;130G;2021-03-26;22
1;167;CHAMYTO IOGURTE MOR+CER CHOC 24X130G;130G;2021-03-27;22
1;167;CHAMYTO IOGURTE MOR+CER CHOC 24X130G;130G;2021-03-28;22
1;167;CHAMYTO IOGURTE MOR+CER CHOC 24X130G;130G;2021-03-29;0
1;167;CHAMYTO IOGURTE MOR+CER CHOC 24X130G;130G;2021-03-30;0
1;167;CHAMYTO IOGURTE MOR+CER CHOC 24X130G;130G;2021-03-31;893
1;167;CHAMYTO IOGURTE MOR+CER CHOC 24X130G;130G;2021-04-01;834
1;167;CHAMYTO IOGURTE MOR+CER CHOC 24X130G;130G;2021-04-02;834
1;167;CHAMYTO IOGURTE MOR+CER CHOC 24X130G;130G;2021-04-03;781
1;167;CHAMYTO IOGURTE MOR+CER CHOC 24X130G;130G;2021-04-04;781
1;167;CHAMYTO IOGURTE MOR+CER CHOC 24X130G;130G;2021-04-05;781
1;167;CHAMYTO IOGURTE MOR+CER CHOC 24X130G;130G;2021-04-06;560
1;167;CHAMYTO IOGURTE MOR+CER CHOC 24X130G;130G;2021-04-07;304
1;167;CHAMYTO IOGURTE MOR+CER CHOC 24X130G;130G;2021-04-08;142
1;167;CHAMYTO IOGURTE MOR+CER CHOC 24X130G;130G;2021-04-09;94
1;167;CHAMYTO IOGURTE MOR+CER CHOC 24X130G;130G;2021-04-10;67
1;167;CHAMYTO IOGURTE MOR+CER CHOC 24X130G;130G;2021-04-11;67
1;167;CHAMYTO IOGURTE MOR+CER CHOC 24X130G;130G;2021-04-12;66
1;167;CHAMYTO IOGURTE MOR+CER CHOC 24X130G;130G;2021-04-13;5
1;167;CHAMYTO IOGURTE MOR+CER CHOC 24X130G;130G;2021-04-14;7
1;167;CHAMYTO IOGURTE MOR+CER CHOC 24X130G;130G;2021-04-15;944
1;167;CHAMYTO IOGURTE MOR+CER CHOC 24X130G;130G;2021-04-16;605
1;167;CHAMYTO IOGURTE MOR+CER CHOC 24X130G;130G;2021-04-17;230
1;167;CHAMYTO IOGURTE MOR+CER CHOC 24X130G;130G;2021-04-18;230
1;167;CHAMYTO IOGURTE MOR+CER CHOC 24X130G;130G;2021-04-19;154
1;167;CHAMYTO IOGURTE MOR+CER CHOC 24X130G;130G;2021-04-20;57
1;167;CHAMYTO IOGURTE MOR+CER CHOC 24X130G;130G;2021-04-21;57
1;167;CHAMYTO IOGURTE MOR+CER CHOC 24X130G;130G;2021-04-22;29
1;167;CHAMYTO IOGURTE MOR+CER CHOC 24X130G;130G;2021-04-23;958
1;167;CHAMYTO IOGURTE MOR+CER CHOC 24X130G;130G;2021-04-24;919
1;167;CHAMYTO IOGURTE MOR+CER CHOC 24X130G;130G;2021-04-25;919
1;167;CHAMYTO IOGURTE MOR+CER CHOC 24X130G;130G;2021-04-26;697
1;167;CHAMYTO IOGURTE MOR+CER CHOC 24X130G;130G;2021-04-27;471
1;167;CHAMYTO IOGURTE MOR+CER CHOC 24X130G;130G;2021-04-28;81
1;167;CHAMYTO IOGURTE MOR+CER CHOC 24X130G;130G;2021-04-29;24
1;167;CHAMYTO IOGURTE MOR+CER CHOC 24X130G;130G;2021-04-30;0
1;167;CHAMYTO IOGURTE MOR+CER CHOC 24X130G;130G;2021-05-01;0
1;167;CHAMYTO IOGURTE MOR+CER CHOC 24X130G;130G;2021-05-02;0
1;167;CHAMYTO IOGURTE MOR+CER CHOC 24X130G;130G;2021-05-03;0
1;167;CHAMYTO IOGURTE MOR+CER CHOC 24X130G;130G;2021-05-04;0
1;167;CHAMYTO IOGURTE MOR+CER CHOC 24X130G;130G;2021-05-05;606
1;167;CHAMYTO IOGURTE MOR+CER CHOC 24X130G;130G;2021-05-06;97
1;167;CHAMYTO IOGURTE MOR+CER CHOC 24X130G;130G;2021-05-07;16
1;167;CHAMYTO IOGURTE MOR+CER CHOC 24X130G;130G;2021-05-08;12
1;167;CHAMYTO IOGURTE MOR+CER CHOC 24X130G;130G;2021-05-09;12
1;167;CHAMYTO IOGURTE MOR+CER CHOC 24X130G;130G;2021-05-10;12
1;167;CHAMYTO IOGURTE MOR+CER CHOC 24X130G;130G;2021-05-11;0
1;167;CHAMYTO IOGURTE MOR+CER CHOC 24X130G;130G;2021-05-12;0
1;167;CHAMYTO IOGURTE MOR+CER CHOC 24X130G;130G;2021-05-13;957
1;167;CHAMYTO IOGURTE MOR+CER CHOC 24X130G;130G;2021-05-14;820
1;167;CHAMYTO IOGURTE MOR+CER CHOC 24X130G;130G;2021-05-15;411
1;167;CHAMYTO IOGURTE MOR+CER CHOC 24X130G;130G;2021-05-16;411
1;167;CHAMYTO IOGURTE MOR+CER CHOC 24X130G;130G;2021-05-17;286
1;167;CHAMYTO IOGURTE MOR+CER CHOC 24X130G;130G;2021-05-18;173
1;167;CHAMYTO IOGURTE MOR+CER CHOC 24X130G;130G;2021-05-19;5
1;167;CHAMYTO IOGURTE MOR+CER CHOC 24X130G;130G;2021-05-20;0
1;167;CHAMYTO IOGURTE MOR+CER CHOC 24X130G;130G;2021-05-21;953
1;167;CHAMYTO IOGURTE MOR+CER CHOC 24X130G;130G;2021-05-22;772
1;167;CHAMYTO IOGURTE MOR+CER CHOC 24X130G;130G;2021-05-23;772
1;167;CHAMYTO IOGURTE MOR+CER CHOC 24X130G;130G;2021-05-24;635
1;167;CHAMYTO IOGURTE MOR+CER CHOC 24X130G;130G;2021-05-25;465
1;167;CHAMYTO IOGURTE MOR+CER CHOC 24X130G;130G;2021-05-26;177
1;167;CHAMYTO IOGURTE MOR+CER CHOC 24X130G;130G;2021-05-27;110
1;167;CHAMYTO IOGURTE MOR+CER CHOC 24X130G;130G;2021-05-28;70
1;167;CHAMYTO IOGURTE MOR+CER CHOC 24X130G;130G;2021-05-29;468
1;167;CHAMYTO IOGURTE MOR+CER CHOC 24X130G;130G;2021-05-30;468
1;167;CHAMYTO IOGURTE MOR+CER CHOC 24X130G;130G;2021-05-31;14
1;167;CHAMYTO IOGURTE MOR+CER CHOC 24X130G;130G;2021-06-02;0
1;167;CHAMYTO IOGURTE MOR+CER CHOC 24X130G;130G;2021-06-03;0
1;167;CHAMYTO IOGURTE MOR+CER CHOC 24X130G;130G;2021-06-04;0
1;167;CHAMYTO IOGURTE MOR+CER CHOC 24X130G;130G;2021-06-05;0
1;167;CHAMYTO IOGURTE MOR+CER CHOC 24X130G;130G;2021-06-06;0
1;167;CHAMYTO IOGURTE MOR+CER CHOC 24X130G;130G;2021-06-07;1095
1;168;CHAMYTO BEB LACTEA MOR+CER CRML 24X130G;130G;2021-02-08;1489
1;168;CHAMYTO BEB LACTEA MOR+CER CRML 24X130G;130G;2021-02-09;973
1;168;CHAMYTO BEB LACTEA MOR+CER CRML 24X130G;130G;2021-02-10;662
1;168;CHAMYTO BEB LACTEA MOR+CER CRML 24X130G;130G;2021-02-11;582
1;168;CHAMYTO BEB LACTEA MOR+CER CRML 24X130G;130G;2021-02-12;473
1;168;CHAMYTO BEB LACTEA MOR+CER CRML 24X130G;130G;2021-02-13;1279
1;168;CHAMYTO BEB LACTEA MOR+CER CRML 24X130G;130G;2021-02-14;1279
1;168;CHAMYTO BEB LACTEA MOR+CER CRML 24X130G;130G;2021-02-15;1134
1;168;CHAMYTO BEB LACTEA MOR+CER CRML 24X130G;130G;2021-02-17;863
1;168;CHAMYTO BEB LACTEA MOR+CER CRML 24X130G;130G;2021-02-18;798
1;168;CHAMYTO BEB LACTEA MOR+CER CRML 24X130G;130G;2021-02-19;710
1;168;CHAMYTO BEB LACTEA MOR+CER CRML 24X130G;130G;2021-02-20;426
1;168;CHAMYTO BEB LACTEA MOR+CER CRML 24X130G;130G;2021-02-21;426
1;168;CHAMYTO BEB LACTEA MOR+CER CRML 24X130G;130G;2021-02-22;111
1;168;CHAMYTO BEB LACTEA MOR+CER CRML 24X130G;130G;2021-02-23;0
1;168;CHAMYTO BEB LACTEA MOR+CER CRML 24X130G;130G;2021-02-24;0
