CODFILIAL;CODPROD;DESCRICAO;SALDO;NUMPED;DTEMISSAO
1;201;IOGURTE NESTLE NATURAL MEL 28X170G;0;6926;24/03/21
1;204;NESTLE FLAN CARAMELO 20X200G;0;6926;24/03/21
1;206;NESTLE GREGO IOG LIGHT 3 SAB 6X540G;0;6926;24/03/21
1;192;NESTLE BICAM IOGURTE MORANGO 28X150G;0;6955;01/04/21
1;194;NESTLE GREGO IOG FRUTAS VERM 12X400G;0;6955;01/04/21
1;195;IOGURTE GREGO NESTLE TRADICIONAL 12X400G;0;6955;01/04/21
1;198;NESTLE NATURAL CENOURA+LARANJA 28X170G;0;6955;01/04/21
1;199;IOGURTE NESTLE NATURAL 28X170G;0;6955;01/04/21
1;200;NESTLE IOG NATURAL DESNATADO 28X160G;0;6955;01/04/21
1;201;IOGURTE NESTLE NATURAL MEL 28X170G;0;6955;01/04/21
1;204;NESTLE FLAN CARAMELO 20X200G;0;6955;01/04/21
1;206;NESTLE GREGO IOG LIGHT 3 SAB 6X540G;0;6955;01/04/21
1;450;CHANDELLE CHOCOLATE 24X180G;0;6955;01/04/21
1;451;CHAMBINHO CHOCOLATE 16X320G;0;6955;01/04/21
1;453;CHANDELLE CHOCOLATE 18X360G;0;6955;01/04/21
1;759;CHAMYTO LEITE FERMENTADO 21X6X75G;0;6955;01/04/21
1;2037;NESFIT IOGURTE FRUTAS VERM 12X850G;0;6955;01/04/21
1;2038;NESFIT IOGURTE MORANGO BAUN 12X850G;0;6955;01/04/21
1;2039;NESFIT IOGURTE MARACUJA AVEIA 12X850G;0;6955;01/04/21
1;167;CHAMYTO IOGURTE MOR+CER CHOC 24X130G;0;6955;01/04/21
1;212;NINHO SOLEIL PETIT MRG+BNA&MC 16X320G;0;6955;01/04/21
1;213;REQUEIJAO CREMOSO NESTLE 15X200G;0;6955;01/04/21
1;214;REQUEIJAO CREMOSO NESTLE LIGHT 15X200G;0;6955;01/04/21
