CODFILIAL;CODPROD;DESCRICAO;DTULTENT;VALORULTENT;QTULTENT
1;249;NESTLE GREGO LIGHT MARACUJA 12X360G;2021-07-03;4,486187;144
1;254;NINHO FRUTI MORANGO 8X250G;2021-07-03;2,89156;480
1;167;CHAMYTO IOGURTE MOR+CER CHOC 24X130G;2021-07-03;2,036762;1440
1;168;CHAMYTO BEB LACTEA MOR+CER CRML 24X130G;2021-07-03;2,03676;1920
1;174;NESTON IOGURTE LIQ MACA BNA 12X850G;2021-07-03;4,95726;840
1;176;NINHO IOGURTE LIQ MACA E BANANA 12X850G;2021-07-03;6,271133;840
1;180;NINHO IOGURTE POLPA 6X540G;2021-07-03;3,319695;6570
1;182;CHAMBINHO PETIT MRG 12X480G;2021-04-23;4,673581;288
1;183;CHAMBINHO PETIT MOR 16X320G;2021-07-03;4,097602;2688
1;192;NESTLE BICAM IOGURTE MORANGO 28X150G;2021-06-25;1,802571;2240
1;194;NESTLE GREGO IOG FRUTAS VERM 12X400G;2021-07-03;4,486187;144
1;195;IOGURTE GREGO NESTLE TRADICIONAL 12X400G;2021-06-07;4,485226;432
1;198;NESTLE NATURAL CENOURA+LARANJA 28X170G;2021-07-03;1,499284;1120
1;199;IOGURTE NESTLE NATURAL 28X170G;2021-07-03;1,499284;1120
1;200;NESTLE IOG NATURAL DESNATADO 28X160G;2021-07-03;1,499275;560
1;201;IOGURTE NESTLE NATURAL MEL 28X170G;2021-06-25;1,499159;840
1;204;NESTLE FLAN CARAMELO 20X200G;2021-07-03;2,175952;400
1;206;NESTLE GREGO IOG LIGHT 3 SAB 6X540G;2021-07-03;5,621587;180
1;212;NINHO SOLEIL PETIT MRG+BNA&MC 16X320G;2021-05-05;4,043745;384
1;213;REQUEIJAO CREMOSO NESTLE 15X200G;2021-07-03;4,065774;1560
1;214;REQUEIJAO CREMOSO NESTLE LIGHT 15X200G;2021-07-03;4,065787;780
1;287;NINHO IOGURTE LIQ MACA E BANANA 24X170G;2021-07-03;1,638386;1920
1;288;NINHO IOGURTE MORANGO 24X170G;2021-07-03;1,638386;1920
1;295;PALLET ;2021-07-08;25,2;86
1;333;NESTON IOGURTE POLPA 2 SABORES 6X540G;2021-07-03;3,109078;3060
1;448;CHANDELLE CHANTILLY CHOCOLATE 24X200G;2021-07-03;3,030808;480
1;449;CHANDELLE CHANTILLY CARAMELO 24X200G;2021-07-03;3,030829;240
1;450;CHANDELLE CHOCOLATE 24X180G;2021-07-03;2,643147;480
1;451;CHAMBINHO CHOCOLATE 16X320G;2021-07-03;3,58432;768
1;453;CHANDELLE CHOCOLATE 18X360G;2021-07-03;4,200253;540
1;759;CHAMYTO LEITE FERMENTADO 21X6X75G;2021-07-03;3,280048;420
1;1517;NESTON IOGURTE LIQ MACA E BAN 24X170G;2021-07-03;1,243911;1440
1;1519;NESTLE GREGO IOG TRAD + MRG 6X600G;2021-07-03;5,62155;270
1;1520;CHAMYTO GO IOG LIQ VITAMINA 24X100G;2021-06-17;1,468643;552
1;1505;NESTLE IOG VIT DE FRUTA 24X170G;2021-07-03;1,335395;2400
1;1506;NESTLE IOG VIT DE FRUTA 12X900G;2021-06-25;5,474834;504
1;1508;NESTLE GREGO IOG LT MORANGO 12X360G;2021-07-03;4,486187;144
1;1509;NESTLE IOGURTE MORANGO 24X170G;2021-07-03;1,335395;2400
1;1510;NESTLE IOGURTE MORANGO 12X1,250G;2021-07-03;7,200355;1320
1;1511;NESTLE IOGURTE MORANGO 12X900G;2021-07-03;5,475309;1344
1;1512;NESTLE IOGURTE VIT DE FRUTA 12X1,250G;2021-07-03;7,200356;600
1;1521;CHAMYTO GO IOG LIQ MORANGO 24X100G;2021-07-03;1,46888;1104
1;1652;NESTLE GREGO MORANGO 24X90G;2020-07-31;1,167216;432
1;1653;NESTLE GREGO FLOCOS 24X90G;2020-08-05;1,167192;432
1;1958;NESTLE GREGO TORTA MORANGO 24X90G;2021-07-03;1,366563;432
1;1699;NESTLE GREGO IOG FLOCOS 12X400G;2020-07-31;4,053831;144
1;2127;NESFIT IOGURTE FRUTAS VERMELHAS 20X150G;2021-01-29;2,572483;460
1;1887;CHANDELLE CHOCOLATE BRANCO 18X360G;2021-07-03;4,200253;180
1;2332;NESTLE FLAN MORANGO 20X200G;2020-09-26;1,927731;400
1;2042;NESFIT IOGURTE MORANGO BAUN 24X170G;2021-06-25;1,932539;480
1;2373;NINHO IOGURTE POLPA 6X720G;2021-07-03;5,45467;216
1;1693;NINHO IOGURTE LIQ MACA E BANANA 24X100G;2021-07-03;1,957416;552
1;2104;NESFIT IOGURTE MORANGO BAUN 20X150G;2021-01-15;2,573377;460
1;1697;CHANDELLE CHOCOLATE 6X720G;2021-07-03;6,385061;180
1;1698;CHAMYTO LEITE FERM 21X6X120G;2021-07-03;5,262812;210
1;1735;NESTLE IOGURTE POLPA MORANGO 6X540G;2021-07-03;2,870519;6570
1;1736;NESTLE IOGURTE POLPA VITAMINA 6X540G;2021-07-03;2,87052;1530
1;2455;MOLICO IOGURTE LIQ BAUN 24X170G;2021-06-25;1,725066;480
1;1939;NESTLE GREGO FRUTAS VERMELHAS 24X90G;2021-07-03;1,366563;432
1;1940;NESTLE GREGO TORTA MARACUJA 24X90G;2021-07-03;1,366563;432
1;1941;NESTLE GREGO TRADICIONAL 24X90G;2021-07-03;1,366563;432
1;2099;MOLICO IOGURTE LIQ MRG 12X850G;2021-07-03;7,191559;168
1;2100;MOLICO IOGURTE LIQ MRG 24X170G;2021-07-03;1,725207;480
1;2037;NESFIT IOGURTE FRUTAS VERM 12X850G;2021-07-03;7,314944;168
1;2038;NESFIT IOGURTE MORANGO BAUN 12X850G;2021-07-03;7,314915;336
1;2039;NESFIT IOGURTE MARACUJA AVEIA 12X850G;2021-07-03;7,314944;168
1;2040;NESFIT IOGURTE FRUTAS VERMELHAS 24X170G;2021-06-25;1,932539;480
1;2041;NESFIT IOGURTE MARACUJA AVEIA 24X170G;2021-06-25;1,932539;480
1;1963;NESTLE GREGO TORTA LIMAO 24X90G;2021-07-03;1,366563;432
1;2347;CHAMBINHO PETIT MRG 64X80G;2021-04-15;0,919992;768
1;2664;MOLICO IOGURTE LIQ BAUN 12X850G;2021-07-03;7,191559;168
1;2721;NESFIT IOGURTE POLPA MARACUJA 12X360G;2021-07-03;4,147977;144
1;2722;NESFIT IOGURTE POLPA FRUTAS VERM12X360G;2021-07-03;4,147977;144
1;2723;NESFIT IOGURTE POLPA MORANGO BAUN 6X720G;2021-07-03;8,295952;72
