CODFILIAL;CODPROD;DESCRICAO;CODFORNEC;FORNECEDOR;EMBALAGEM;QTESTGER;QTINDENIZ;QTRESERV;QTPENDENTE;CUSTOULTENT;PVENDA;QTBLOQUEADA;QT_DISP
1;247;CHAMBINHO PETIT MRG 38X80G;16;DAIRY PARTNERS AMERICAS BRASIL LTDA;38X80G;0;0;0;0;0,756809;1,9;0;0
1;248;NESTLE GREGO LIGHT BAUNILHA 12X360G;16;DAIRY PARTNERS AMERICAS BRASIL LTDA;360G;0;0;0;0;4,128691;6,11;0;0
1;249;NESTLE GREGO LIGHT MARACUJA 12X360G;16;DAIRY PARTNERS AMERICAS BRASIL LTDA;360G;209;0;1;0;4,486187;7,1;0;208
1;250;IOGURTE GREGO NESTLE ABACAXI 12X400G;16;DAIRY PARTNERS AMERICAS BRASIL LTDA;12X400G;0;0;0;0;3,620388;5,89;0;0
1;251;IOGURTE GREGO NESTLE PESSEGO 12X400G;16;DAIRY PARTNERS AMERICAS BRASIL LTDA;12X400G;0;0;0;0;4,028195;5,88;0;0
1;252;IOGURTE GREGO NESTLE SEM ACUCAR 24X110G;16;DAIRY PARTNERS AMERICAS BRASIL LTDA;24X110G;0;0;0;0;1,3991;2,0391;0;0
1;253;LEITE FERM MOLICO VIT FRUTAS 48X170G;16;DAIRY PARTNERS AMERICAS BRASIL LTDA;48X170G;0;0;0;0;1,466862;2,14;0;0
1;254;NINHO FRUTI MORANGO 8X250G;16;DAIRY PARTNERS AMERICAS BRASIL LTDA;250G;193;0;8;2;2,89156;5,7;0;183
1;255;CHANDELLE SENSACAO 20X220G;16;DAIRY PARTNERS AMERICAS BRASIL LTDA;20X220G;;0;0;0;1,9965;2,9103;0;
1;167;CHAMYTO IOGURTE MOR+CER CHOC 24X130G;16;DAIRY PARTNERS AMERICAS BRASIL LTDA;130G;1140;0;40;11;2,036762;3,25;0;1089
1;168;CHAMYTO BEB LACTEA MOR+CER CRML 24X130G;16;DAIRY PARTNERS AMERICAS BRASIL LTDA;130G;353;0;59;50;2,03676;3,25;0;244
1;169;BEB LACTEA NESTLE MORANGO 10X900G;16;DAIRY PARTNERS AMERICAS BRASIL LTDA;10X900G;0;0;0;0;5,017746;6,77;0;0
1;170;BEB LACTEA NESTLE MORANGO 48X180G;16;DAIRY PARTNERS AMERICAS BRASIL LTDA;48X180G;0;0;0;0;1,065934;1,44;0;0
1;171;BEB LACTEA NESTLE POLPA 3 SABORES 6X540G;16;DAIRY PARTNERS AMERICAS BRASIL LTDA;6X540G;0;0;0;0;2,585175;3,51;0;0
1;172;NESTLE BEB LACTEA POLPA MORANGO 6X540G;16;DAIRY PARTNERS AMERICAS BRASIL LTDA;540G;0;0;0;0;1,972959;2,88;0;0
1;174;NESTON IOGURTE LIQ MACA BNA 12X850G;16;DAIRY PARTNERS AMERICAS BRASIL LTDA;850G;1234;0;22;33;4,95726;8,5;0;1179
1;175;BEB LACTEA NESTON POLPA 6X600G;16;DAIRY PARTNERS AMERICAS BRASIL LTDA;6X600G;0;0;0;0;4,7021;6,86;0;0
1;176;NINHO IOGURTE LIQ MACA E BANANA 12X850G;16;DAIRY PARTNERS AMERICAS BRASIL LTDA;850G;399;0;16;21;6,271133;8,9;0;362
1;177;BEB LACTEA NINHO SOLEIL MACA+BNA 48X180G;16;DAIRY PARTNERS AMERICAS BRASIL LTDA;180G;0;0;0;0;1,530417;2,2309;0;0
1;178;BEB LACTEA NINHO SOLEIL MORANGO 48X180G;16;DAIRY PARTNERS AMERICAS BRASIL LTDA;180G;0;0;0;0;1,530417;2,2309;0;0
1;179;IOGURTE NINHO SOLEIL MORANGO 10X900G;16;DAIRY PARTNERS AMERICAS BRASIL LTDA;10X900G;0;0;0;0;5,717228;9,16;0;0
