CODFILIAL;CODPROD;DESCRICAO;EMBALAGEM;DATA;QTESTGER
1;167;CHAMYTO IOGURTE MOR+CER CHOC 24X130G;130G;2021-03-11;18
1;167;CHAMYTO IOGURTE MOR+CER CHOC 24X130G;130G;2021-03-12;18
1;167;CHAMYTO IOGURTE MOR+CER CHOC 24X130G;130G;2021-03-13;0
1;167;CHAMYTO IOGURTE MOR+CER CHOC 24X130G;130G;2021-03-14;0
1;167;CHAMYTO IOGURTE MOR+CER CHOC 24X130G;130G;2021-03-15;0
1;167;CHAMYTO IOGURTE MOR+CER CHOC 24X130G;130G;2021-03-16;0
1;167;CHAMYTO IOGURTE MOR+CER CHOC 24X130G;130G;2021-03-17;0
1;167;CHAMYTO IOGURTE MOR+CER CHOC 24X130G;130G;2021-03-18;0
1;167;CHAMYTO IOGURTE MOR+CER CHOC 24X130G;130G;2021-03-19;0
1;167;CHAMYTO IOGURTE MOR+CER CHOC 24X130G;130G;2021-03-20;0
1;167;CHAMYTO IOGURTE MOR+CER CHOC 24X130G;130G;2021-03-21;0
1;167;CHAMYTO IOGURTE MOR+CER CHOC 24X130G;130G;2021-03-22;0
1;167;CHAMYTO IOGURTE MOR+CER CHOC 24X130G;130G;2021-03-23;0
1;167;CHAMYTO IOGURTE MOR+CER CHOC 24X130G;130G;2021-03-24;827
1;167;CHAMYTO IOGURTE MOR+CER CHOC 24X130G;130G;2021-03-25;643
1;167;CHAMYTO IOGURTE MOR+CER CHOC 24X130G;130G;2021-03-26;22
1;167;CHAMYTO IOGURTE MOR+CER CHOC 24X130G;130G;2021-03-27;22
1;167;CHAMYTO IOGURTE MOR+CER CHOC 24X130G;130G;2021-03-28;22
1;167;CHAMYTO IOGURTE MOR+CER CHOC 24X130G;130G;2021-03-29;0
1;167;CHAMYTO IOGURTE MOR+CER CHOC 24X130G;130G;2021-03-30;0
1;167;CHAMYTO IOGURTE MOR+CER CHOC 24X130G;130G;2021-03-31;893
1;167;CHAMYTO IOGURTE MOR+CER CHOC 24X130G;130G;2021-04-01;834
