CODFILIAL;CODPROD;DESCRICAO;EMBALAGEM;DATA;QTESTGER
1;167;CHAMYTO IOGURTE MOR+CER CHOC 24X130G;130G;2021-07-04;2140
1;167;CHAMYTO IOGURTE MOR+CER CHOC 24X130G;130G;2021-07-05;2029
1;167;CHAMYTO IOGURTE MOR+CER CHOC 24X130G;130G;2021-07-06;1652
1;167;CHAMYTO IOGURTE MOR+CER CHOC 24X130G;130G;2021-07-07;1337
1;167;CHAMYTO IOGURTE MOR+CER CHOC 24X130G;130G;2021-07-08;1141
1;167;CHAMYTO IOGURTE MOR+CER CHOC 24X130G;130G;2021-07-09;1042
1;167;CHAMYTO IOGURTE MOR+CER CHOC 24X130G;130G;2021-07-10;1010
1;167;CHAMYTO IOGURTE MOR+CER CHOC 24X130G;130G;2021-07-11;1010
1;167;CHAMYTO IOGURTE MOR+CER CHOC 24X130G;130G;2021-07-12;872
1;167;CHAMYTO IOGURTE MOR+CER CHOC 24X130G;130G;2021-07-13;690
1;167;CHAMYTO IOGURTE MOR+CER CHOC 24X130G;130G;2021-07-14;671
1;167;CHAMYTO IOGURTE MOR+CER CHOC 24X130G;130G;2021-07-15;594
1;167;CHAMYTO IOGURTE MOR+CER CHOC 24X130G;130G;2021-07-16;1735
1;167;CHAMYTO IOGURTE MOR+CER CHOC 24X130G;130G;2021-07-17;1526
1;167;CHAMYTO IOGURTE MOR+CER CHOC 24X130G;130G;2021-07-18;1526
1;168;CHAMYTO BEB LACTEA MOR+CER CRML 24X130G;130G;2021-07-04;1950
1;168;CHAMYTO BEB LACTEA MOR+CER CRML 24X130G;130G;2021-07-05;1758
1;168;CHAMYTO BEB LACTEA MOR+CER CRML 24X130G;130G;2021-07-06;1307
1;168;CHAMYTO BEB LACTEA MOR+CER CRML 24X130G;130G;2021-07-07;937
1;168;CHAMYTO BEB LACTEA MOR+CER CRML 24X130G;130G;2021-07-08;354
1;168;CHAMYTO BEB LACTEA MOR+CER CRML 24X130G;130G;2021-07-09;247
1;168;CHAMYTO BEB LACTEA MOR+CER CRML 24X130G;130G;2021-07-10;169
1;168;CHAMYTO BEB LACTEA MOR+CER CRML 24X130G;130G;2021-07-11;169
1;168;CHAMYTO BEB LACTEA MOR+CER CRML 24X130G;130G;2021-07-12;73
1;168;CHAMYTO BEB LACTEA MOR+CER CRML 24X130G;130G;2021-07-13;9
1;168;CHAMYTO BEB LACTEA MOR+CER CRML 24X130G;130G;2021-07-14;9
1;168;CHAMYTO BEB LACTEA MOR+CER CRML 24X130G;130G;2021-07-15;8
1;168;CHAMYTO BEB LACTEA MOR+CER CRML 24X130G;130G;2021-07-16;1926
1;168;CHAMYTO BEB LACTEA MOR+CER CRML 24X130G;130G;2021-07-17;1541
1;168;CHAMYTO BEB LACTEA MOR+CER CRML 24X130G;130G;2021-07-18;1541
1;169;BEB LACTEA NESTLE MORANGO 10X900G;10X900G;2021-07-04;0
1;169;BEB LACTEA NESTLE MORANGO 10X900G;10X900G;2021-07-05;0
1;169;BEB LACTEA NESTLE MORANGO 10X900G;10X900G;2021-07-06;0
1;169;BEB LACTEA NESTLE MORANGO 10X900G;10X900G;2021-07-07;0
1;169;BEB LACTEA NESTLE MORANGO 10X900G;10X900G;2021-07-08;0
1;169;BEB LACTEA NESTLE MORANGO 10X900G;10X900G;2021-07-09;0
1;169;BEB LACTEA NESTLE MORANGO 10X900G;10X900G;2021-07-10;0
1;169;BEB LACTEA NESTLE MORANGO 10X900G;10X900G;2021-07-11;0
1;169;BEB LACTEA NESTLE MORANGO 10X900G;10X900G;2021-07-12;0
1;169;BEB LACTEA NESTLE MORANGO 10X900G;10X900G;2021-07-13;0
1;169;BEB LACTEA NESTLE MORANGO 10X900G;10X900G;2021-07-14;0
1;169;BEB LACTEA NESTLE MORANGO 10X900G;10X900G;2021-07-15;0
1;169;BEB LACTEA NESTLE MORANGO 10X900G;10X900G;2021-07-16;0
1;169;BEB LACTEA NESTLE MORANGO 10X900G;10X900G;2021-07-17;0
1;169;BEB LACTEA NESTLE MORANGO 10X900G;10X900G;2021-07-18;0
1;170;BEB LACTEA NESTLE MORANGO 48X180G;48X180G;2021-07-04;0
1;170;BEB LACTEA NESTLE MORANGO 48X180G;48X180G;2021-07-05;0
1;170;BEB LACTEA NESTLE MORANGO 48X180G;48X180G;2021-07-06;0
1;170;BEB LACTEA NESTLE MORANGO 48X180G;48X180G;2021-07-07;0
1;170;BEB LACTEA NESTLE MORANGO 48X180G;48X180G;2021-07-08;0
1;170;BEB LACTEA NESTLE MORANGO 48X180G;48X180G;2021-07-09;0
1;170;BEB LACTEA NESTLE MORANGO 48X180G;48X180G;2021-07-10;0
1;170;BEB LACTEA NESTLE MORANGO 48X180G;48X180G;2021-07-11;0
1;170;BEB LACTEA NESTLE MORANGO 48X180G;48X180G;2021-07-12;0
1;170;BEB LACTEA NESTLE MORANGO 48X180G;48X180G;2021-07-13;0
1;170;BEB LACTEA NESTLE MORANGO 48X180G;48X180G;2021-07-14;0
1;170;BEB LACTEA NESTLE MORANGO 48X180G;48X180G;2021-07-15;0
1;170;BEB LACTEA NESTLE MORANGO 48X180G;48X180G;2021-07-16;0
1;170;BEB LACTEA NESTLE MORANGO 48X180G;48X180G;2021-07-17;0
1;170;BEB LACTEA NESTLE MORANGO 48X180G;48X180G;2021-07-18;0
1;171;BEB LACTEA NESTLE POLPA 3 SABORES 6X540G;6X540G;2021-07-04;0
1;171;BEB LACTEA NESTLE POLPA 3 SABORES 6X540G;6X540G;2021-07-05;0
1;171;BEB LACTEA NESTLE POLPA 3 SABORES 6X540G;6X540G;2021-07-06;0
1;171;BEB LACTEA NESTLE POLPA 3 SABORES 6X540G;6X540G;2021-07-07;0
1;171;BEB LACTEA NESTLE POLPA 3 SABORES 6X540G;6X540G;2021-07-08;0
1;171;BEB LACTEA NESTLE POLPA 3 SABORES 6X540G;6X540G;2021-07-09;0
1;171;BEB LACTEA NESTLE POLPA 3 SABORES 6X540G;6X540G;2021-07-10;0
1;171;BEB LACTEA NESTLE POLPA 3 SABORES 6X540G;6X540G;2021-07-11;0
1;171;BEB LACTEA NESTLE POLPA 3 SABORES 6X540G;6X540G;2021-07-12;0
1;171;BEB LACTEA NESTLE POLPA 3 SABORES 6X540G;6X540G;2021-07-13;0
1;171;BEB LACTEA NESTLE POLPA 3 SABORES 6X540G;6X540G;2021-07-14;0
1;171;BEB LACTEA NESTLE POLPA 3 SABORES 6X540G;6X540G;2021-07-15;0
1;171;BEB LACTEA NESTLE POLPA 3 SABORES 6X540G;6X540G;2021-07-16;0
1;171;BEB LACTEA NESTLE POLPA 3 SABORES 6X540G;6X540G;2021-07-17;0
1;171;BEB LACTEA NESTLE POLPA 3 SABORES 6X540G;6X540G;2021-07-18;0
1;172;NESTLE BEB LACTEA POLPA MORANGO 6X540G;540G;2021-07-04;0
1;172;NESTLE BEB LACTEA POLPA MORANGO 6X540G;540G;2021-07-05;0
1;172;NESTLE BEB LACTEA POLPA MORANGO 6X540G;540G;2021-07-06;0
1;172;NESTLE BEB LACTEA POLPA MORANGO 6X540G;540G;2021-07-07;0
1;172;NESTLE BEB LACTEA POLPA MORANGO 6X540G;540G;2021-07-08;0
1;172;NESTLE BEB LACTEA POLPA MORANGO 6X540G;540G;2021-07-09;0
1;172;NESTLE BEB LACTEA POLPA MORANGO 6X540G;540G;2021-07-10;0
1;172;NESTLE BEB LACTEA POLPA MORANGO 6X540G;540G;2021-07-11;0
1;172;NESTLE BEB LACTEA POLPA MORANGO 6X540G;540G;2021-07-12;0
1;172;NESTLE BEB LACTEA POLPA MORANGO 6X540G;540G;2021-07-13;0
1;172;NESTLE BEB LACTEA POLPA MORANGO 6X540G;540G;2021-07-14;0
1;172;NESTLE BEB LACTEA POLPA MORANGO 6X540G;540G;2021-07-15;0
1;172;NESTLE BEB LACTEA POLPA MORANGO 6X540G;540G;2021-07-16;0
1;172;NESTLE BEB LACTEA POLPA MORANGO 6X540G;540G;2021-07-17;0
1;172;NESTLE BEB LACTEA POLPA MORANGO 6X540G;540G;2021-07-18;0
1;174;NESTON IOGURTE LIQ MACA BNA 12X850G;850G;2021-07-04;1608
1;174;NESTON IOGURTE LIQ MACA BNA 12X850G;850G;2021-07-05;1575
1;174;NESTON IOGURTE LIQ MACA BNA 12X850G;850G;2021-07-06;1385
1;174;NESTON IOGURTE LIQ MACA BNA 12X850G;850G;2021-07-07;1325
1;174;NESTON IOGURTE LIQ MACA BNA 12X850G;850G;2021-07-08;1234
1;174;NESTON IOGURTE LIQ MACA BNA 12X850G;850G;2021-07-09;1212
1;174;NESTON IOGURTE LIQ MACA BNA 12X850G;850G;2021-07-10;1181
1;174;NESTON IOGURTE LIQ MACA BNA 12X850G;850G;2021-07-11;1181
