CODFILIAL;CODPROD;DESCRICAO;SALDO;NUMPED;DTEMISSAO
1;167;CHAMYTO IOGURTE MOR+CER CHOC 24X130G;1200;7296;2021-07-07
1;167;CHAMYTO IOGURTE MOR+CER CHOC 24X130G;960;7307;2021-07-13
1;167;CHAMYTO IOGURTE MOR+CER CHOC 24X130G;720;7316;2021-07-16
1;168;CHAMYTO BEB LACTEA MOR+CER CRML 24X130G;1680;7296;2021-07-07
1;168;CHAMYTO BEB LACTEA MOR+CER CRML 24X130G;1680;7307;2021-07-13
1;168;CHAMYTO BEB LACTEA MOR+CER CRML 24X130G;1440;7316;2021-07-16
1;174;NESTON IOGURTE LIQ MACA BNA 12X850G;336;7296;2021-07-07
1;174;NESTON IOGURTE LIQ MACA BNA 12X850G;336;7307;2021-07-13
1;174;NESTON IOGURTE LIQ MACA BNA 12X850G;504;7316;2021-07-16
1;176;NINHO IOGURTE LIQ MACA E BANANA 12X850G;672;7296;2021-07-07
1;176;NINHO IOGURTE LIQ MACA E BANANA 12X850G;672;7307;2021-07-13
1;176;NINHO IOGURTE LIQ MACA E BANANA 12X850G;672;7316;2021-07-16
1;180;NINHO IOGURTE POLPA 6X540G;8280;7296;2021-07-07
1;180;NINHO IOGURTE POLPA 6X540G;8190;7307;2021-07-13
1;180;NINHO IOGURTE POLPA 6X540G;8460;7316;2021-07-16
1;183;CHAMBINHO PETIT MOR 16X320G;2688;7296;2021-07-07
1;183;CHAMBINHO PETIT MOR 16X320G;2688;7307;2021-07-13
1;183;CHAMBINHO PETIT MOR 16X320G;1920;7316;2021-07-16
1;192;NESTLE BICAM IOGURTE MORANGO 28X150G;2240;7296;2021-07-07
1;192;NESTLE BICAM IOGURTE MORANGO 28X150G;1680;7307;2021-07-13
1;192;NESTLE BICAM IOGURTE MORANGO 28X150G;1400;7316;2021-07-16
1;195;IOGURTE GREGO NESTLE TRADICIONAL 12X400G;144;7296;2021-07-07
1;195;IOGURTE GREGO NESTLE TRADICIONAL 12X400G;144;7307;2021-07-13
1;195;IOGURTE GREGO NESTLE TRADICIONAL 12X400G;144;7316;2021-07-16
1;198;NESTLE NATURAL CENOURA+LARANJA 28X170G;560;7296;2021-07-07
1;198;NESTLE NATURAL CENOURA+LARANJA 28X170G;560;7307;2021-07-13
1;199;IOGURTE NESTLE NATURAL 28X170G;1120;7296;2021-07-07
1;199;IOGURTE NESTLE NATURAL 28X170G;560;7307;2021-07-13
1;199;IOGURTE NESTLE NATURAL 28X170G;560;7316;2021-07-16
1;200;NESTLE IOG NATURAL DESNATADO 28X160G;560;7307;2021-07-13
1;200;NESTLE IOG NATURAL DESNATADO 28X160G;560;7316;2021-07-16
1;201;IOGURTE NESTLE NATURAL MEL 28X170G;840;7296;2021-07-07
1;201;IOGURTE NESTLE NATURAL MEL 28X170G;560;7307;2021-07-13
1;201;IOGURTE NESTLE NATURAL MEL 28X170G;560;7316;2021-07-16
1;204;NESTLE FLAN CARAMELO 20X200G;400;7296;2021-07-07
1;204;NESTLE FLAN CARAMELO 20X200G;200;7307;2021-07-13
1;204;NESTLE FLAN CARAMELO 20X200G;200;7316;2021-07-16
1;206;NESTLE GREGO IOG LIGHT 3 SAB 6X540G;180;7296;2021-07-07
1;206;NESTLE GREGO IOG LIGHT 3 SAB 6X540G;180;7307;2021-07-13
1;206;NESTLE GREGO IOG LIGHT 3 SAB 6X540G;90;7316;2021-07-16
1;213;REQUEIJAO CREMOSO NESTLE 15X200G;1560;7296;2021-07-07
1;213;REQUEIJAO CREMOSO NESTLE 15X200G;1560;7307;2021-07-13
1;213;REQUEIJAO CREMOSO NESTLE 15X200G;1560;7316;2021-07-16
1;214;REQUEIJAO CREMOSO NESTLE LIGHT 15X200G;780;7296;2021-07-07
1;214;REQUEIJAO CREMOSO NESTLE LIGHT 15X200G;585;7307;2021-07-13
1;214;REQUEIJAO CREMOSO NESTLE LIGHT 15X200G;780;7316;2021-07-16
1;249;NESTLE GREGO LIGHT MARACUJA 12X360G;144;7307;2021-07-13
1;254;NINHO FRUTI MORANGO 8X250G;320;7296;2021-07-07
1;254;NINHO FRUTI MORANGO 8X250G;480;7307;2021-07-13
1;254;NINHO FRUTI MORANGO 8X250G;320;7316;2021-07-16
1;287;NINHO IOGURTE LIQ MACA E BANANA 24X170G;1440;7296;2021-07-07
1;287;NINHO IOGURTE LIQ MACA E BANANA 24X170G;1440;7307;2021-07-13
1;287;NINHO IOGURTE LIQ MACA E BANANA 24X170G;1440;7316;2021-07-16
1;288;NINHO IOGURTE MORANGO 24X170G;1440;7296;2021-07-07
1;288;NINHO IOGURTE MORANGO 24X170G;960;7307;2021-07-13
1;288;NINHO IOGURTE MORANGO 24X170G;1440;7316;2021-07-16
1;333;NESTON IOGURTE POLPA 2 SABORES 6X540G;2970;7296;2021-07-07
1;333;NESTON IOGURTE POLPA 2 SABORES 6X540G;2880;7307;2021-07-13
1;333;NESTON IOGURTE POLPA 2 SABORES 6X540G;2970;7316;2021-07-16
1;448;CHANDELLE CHANTILLY CHOCOLATE 24X200G;240;7296;2021-07-07
1;448;CHANDELLE CHANTILLY CHOCOLATE 24X200G;480;7307;2021-07-13
1;448;CHANDELLE CHANTILLY CHOCOLATE 24X200G;240;7316;2021-07-16
1;449;CHANDELLE CHANTILLY CARAMELO 24X200G;240;7296;2021-07-07
1;449;CHANDELLE CHANTILLY CARAMELO 24X200G;240;7307;2021-07-13
1;449;CHANDELLE CHANTILLY CARAMELO 24X200G;240;7316;2021-07-16
1;450;CHANDELLE CHOCOLATE 24X180G;480;7296;2021-07-07
1;450;CHANDELLE CHOCOLATE 24X180G;240;7307;2021-07-13
1;450;CHANDELLE CHOCOLATE 24X180G;240;7316;2021-07-16
1;451;CHAMBINHO CHOCOLATE 16X320G;768;7296;2021-07-07
1;451;CHAMBINHO CHOCOLATE 16X320G;768;7307;2021-07-13
1;451;CHAMBINHO CHOCOLATE 16X320G;576;7316;2021-07-16
1;453;CHANDELLE CHOCOLATE 18X360G;360;7296;2021-07-07
1;453;CHANDELLE CHOCOLATE 18X360G;360;7307;2021-07-13
1;453;CHANDELLE CHOCOLATE 18X360G;360;7316;2021-07-16
1;759;CHAMYTO LEITE FERMENTADO 21X6X75G;210;7316;2021-07-16
1;1505;NESTLE IOG VIT DE FRUTA 24X170G;1440;7296;2021-07-07
1;1505;NESTLE IOG VIT DE FRUTA 24X170G;1440;7307;2021-07-13
1;1505;NESTLE IOG VIT DE FRUTA 24X170G;1440;7316;2021-07-16
1;1506;NESTLE IOG VIT DE FRUTA 12X900G;336;7296;2021-07-07
1;1506;NESTLE IOG VIT DE FRUTA 12X900G;672;7307;2021-07-13
1;1506;NESTLE IOG VIT DE FRUTA 12X900G;672;7316;2021-07-16
1;1508;NESTLE GREGO IOG LT MORANGO 12X360G;144;7307;2021-07-13
1;1508;NESTLE GREGO IOG LT MORANGO 12X360G;144;7316;2021-07-16
1;1509;NESTLE IOGURTE MORANGO 24X170G;1920;7296;2021-07-07
1;1509;NESTLE IOGURTE MORANGO 24X170G;2400;7307;2021-07-13
1;1509;NESTLE IOGURTE MORANGO 24X170G;2400;7316;2021-07-16
1;1510;NESTLE IOGURTE MORANGO 12X1,250G;480;7296;2021-07-07
1;1510;NESTLE IOGURTE MORANGO 12X1,250G;360;7316;2021-07-16
1;1511;NESTLE IOGURTE MORANGO 12X900G;1176;7296;2021-07-07
1;1511;NESTLE IOGURTE MORANGO 12X900G;1176;7307;2021-07-13
1;1511;NESTLE IOGURTE MORANGO 12X900G;1008;7316;2021-07-16
1;1512;NESTLE IOGURTE VIT DE FRUTA 12X1,250G;600;7296;2021-07-07
1;1512;NESTLE IOGURTE VIT DE FRUTA 12X1,250G;600;7307;2021-07-13
1;1512;NESTLE IOGURTE VIT DE FRUTA 12X1,250G;600;7316;2021-07-16
1;1517;NESTON IOGURTE LIQ MACA E BAN 24X170G;1440;7296;2021-07-07
1;1517;NESTON IOGURTE LIQ MACA E BAN 24X170G;1920;7307;2021-07-13
1;1517;NESTON IOGURTE LIQ MACA E BAN 24X170G;1440;7316;2021-07-16
1;1519;NESTLE GREGO IOG TRAD + MRG 6X600G;90;7307;2021-07-13
1;1519;NESTLE GREGO IOG TRAD + MRG 6X600G;90;7316;2021-07-16
1;1520;CHAMYTO GO IOG LIQ VITAMINA 24X100G;1104;7296;2021-07-07
1;1520;CHAMYTO GO IOG LIQ VITAMINA 24X100G;552;7316;2021-07-16
1;1521;CHAMYTO GO IOG LIQ MORANGO 24X100G;552;7316;2021-07-16
1;1693;NINHO IOGURTE LIQ MACA E BANANA 24X100G;552;7296;2021-07-07
1;1693;NINHO IOGURTE LIQ MACA E BANANA 24X100G;552;7307;2021-07-13
1;1693;NINHO IOGURTE LIQ MACA E BANANA 24X100G;552;7316;2021-07-16
1;1697;CHANDELLE CHOCOLATE 6X720G;60;7296;2021-07-07
1;1697;CHANDELLE CHOCOLATE 6X720G;120;7307;2021-07-13
1;1697;CHANDELLE CHOCOLATE 6X720G;120;7316;2021-07-16
1;1698;CHAMYTO LEITE FERM 21X6X120G;210;7296;2021-07-07
1;1698;CHAMYTO LEITE FERM 21X6X120G;210;7307;2021-07-13
1;1698;CHAMYTO LEITE FERM 21X6X120G;210;7316;2021-07-16
1;1735;NESTLE IOGURTE POLPA MORANGO 6X540G;9630;7296;2021-07-07
1;1735;NESTLE IOGURTE POLPA MORANGO 6X540G;8910;7307;2021-07-13
1;1735;NESTLE IOGURTE POLPA MORANGO 6X540G;9720;7316;2021-07-16
1;1736;NESTLE IOGURTE POLPA VITAMINA 6X540G;1800;7296;2021-07-07
1;1736;NESTLE IOGURTE POLPA VITAMINA 6X540G;2070;7307;2021-07-13
1;1736;NESTLE IOGURTE POLPA VITAMINA 6X540G;2070;7316;2021-07-16
1;1887;CHANDELLE CHOCOLATE BRANCO 18X360G;180;7296;2021-07-07
1;1887;CHANDELLE CHOCOLATE BRANCO 18X360G;180;7316;2021-07-16
1;1939;NESTLE GREGO FRUTAS VERMELHAS 24X90G;432;7296;2021-07-07
1;1939;NESTLE GREGO FRUTAS VERMELHAS 24X90G;432;7307;2021-07-13
1;1939;NESTLE GREGO FRUTAS VERMELHAS 24X90G;432;7316;2021-07-16
1;1940;NESTLE GREGO TORTA MARACUJA 24X90G;432;7296;2021-07-07
1;1940;NESTLE GREGO TORTA MARACUJA 24X90G;432;7307;2021-07-13
1;1940;NESTLE GREGO TORTA MARACUJA 24X90G;432;7316;2021-07-16
1;1941;NESTLE GREGO TRADICIONAL 24X90G;432;7296;2021-07-07
1;1941;NESTLE GREGO TRADICIONAL 24X90G;432;7307;2021-07-13
1;1941;NESTLE GREGO TRADICIONAL 24X90G;432;7316;2021-07-16
1;1958;NESTLE GREGO TORTA MORANGO 24X90G;432;7296;2021-07-07
1;1958;NESTLE GREGO TORTA MORANGO 24X90G;432;7307;2021-07-13
1;1958;NESTLE GREGO TORTA MORANGO 24X90G;432;7316;2021-07-16
1;1963;NESTLE GREGO TORTA LIMAO 24X90G;432;7296;2021-07-07
1;1963;NESTLE GREGO TORTA LIMAO 24X90G;432;7307;2021-07-13
1;1963;NESTLE GREGO TORTA LIMAO 24X90G;432;7316;2021-07-16
1;2037;NESFIT IOGURTE FRUTAS VERM 12X850G;168;7307;2021-07-13
1;2037;NESFIT IOGURTE FRUTAS VERM 12X850G;168;7316;2021-07-16
1;2038;NESFIT IOGURTE MORANGO BAUN 12X850G;168;7296;2021-07-07
1;2038;NESFIT IOGURTE MORANGO BAUN 12X850G;336;7307;2021-07-13
1;2038;NESFIT IOGURTE MORANGO BAUN 12X850G;168;7316;2021-07-16
1;2039;NESFIT IOGURTE MARACUJA AVEIA 12X850G;168;7307;2021-07-13
1;2040;NESFIT IOGURTE FRUTAS VERMELHAS 24X170G;480;7307;2021-07-13
1;2041;NESFIT IOGURTE MARACUJA AVEIA 24X170G;480;7307;2021-07-13
1;2042;NESFIT IOGURTE MORANGO BAUN 24X170G;480;7307;2021-07-13
1;2099;MOLICO IOGURTE LIQ MRG 12X850G;168;7296;2021-07-07
1;2099;MOLICO IOGURTE LIQ MRG 12X850G;168;7307;2021-07-13
1;2099;MOLICO IOGURTE LIQ MRG 12X850G;168;7316;2021-07-16
1;2100;MOLICO IOGURTE LIQ MRG 24X170G;480;7296;2021-07-07
1;2100;MOLICO IOGURTE LIQ MRG 24X170G;480;7307;2021-07-13
1;2100;MOLICO IOGURTE LIQ MRG 24X170G;480;7316;2021-07-16
1;2373;NINHO IOGURTE POLPA 6X720G;144;7296;2021-07-07
1;2373;NINHO IOGURTE POLPA 6X720G;216;7307;2021-07-13
1;2373;NINHO IOGURTE POLPA 6X720G;144;7316;2021-07-16
1;2455;MOLICO IOGURTE LIQ BAUN 24X170G;480;7307;2021-07-13
1;2664;MOLICO IOGURTE LIQ BAUN 12X850G;168;7307;2021-07-13
1;2664;MOLICO IOGURTE LIQ BAUN 12X850G;168;7316;2021-07-16
1;2721;NESFIT IOGURTE POLPA MARACUJA 12X360G;144;7307;2021-07-13
1;2722;NESFIT IOGURTE POLPA FRUTAS VERM12X360G;144;7307;2021-07-13
1;2723;NESFIT IOGURTE POLPA MORANGO BAUN 6X720G;72;7307;2021-07-13
